Номер проекта;Название;Номер Цитис;Руководитель;Тип проекта;Дата начала;Дата завершения;№ внутри Типа;Конкурс
56;Технологии разработки и исследования интеллектуальных систем управления группировками автономных необитаемых подводных аппаратов; 114122970001;Бычков И.В.;РАН;01.02.2012;29.12.2014;15;
57;Разработка информационно-вычислительной среды математического моделирования экологии, прогнозирования чрезвычайных ситуаций в горнопромышленных регионах с использованием вычислительных систем сверхвысокой производительности и данных аэрокосмического мониторинга; 114123040103;Бычков И. В.;РАН;09.05.2014;28.12.2015;43;
58;Создание основанных на метаописаниях технологий формирования сетевых сервисов инфраструктуры пространственных данных для поддержки междисциплинарных научных исследований; 114123040104;Бычков И.В.;РАН;15.05.2012;29.12.2014;4.1;
61;Моделирование и прогноз хронического и острого воздействия негативных факторов окружающей среды на заболеваемость населения (по классу болезней органов дыхания); 114123040097;Бычков И.В.;РАН;03.02.2014;18.12.2015;ФНМ-48;
63;Новые методы, технологии и сервисы обработки пространственных и тематических данных, основанные на декларативных спецификациях и знаниях;1201351951;Ружников Г.М.;Сведений нет;01.01.2013;31.12.2013;;
